"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"200",790,"NEP","Sushil Koirala",276,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"202",93,"NIC","Violeta Chamorro",278,0,1,0,2,5,8,8,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"203",93,"NIC","Aleman",279,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"204",93,"NIC","Enrique Bolanos",280,0,1,0,0,0,6,6,"fullhouse",3,1,"fullhouse",NA,"democracy",1,"s_all","0"
"205",93,"NIC","Daniel Ortega",281,0,-888,-888,0,0,9,9,"fullhouse",6,1,"fullhouse",NA,"democracy",1,"shockt","1"
"206",95,"PAN","Balladares",283,0,1,0,0,1,6,6,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"207",95,"PAN","Mireya Moscoso",284,0,1,0,0,0,6,6,"Dopposition",2,1,"Dopposition",NA,"democracy",1,"ins_all","1"
"209",95,"PAN","Martinelli",286,0,1,0,0,0,10,10,"Notfullhouse",8,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"210",95,"PAN","Varela Rodriguez",287,0,-888,-888,0,0,2,2,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"211",150,"PAR","Fernando Lugo",293,0,1,0,2,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"212",150,"PAR","Federico Franco",294,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"213",150,"PAR","Horacio Cartes",295,0,-888,-888,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"214",135,"PER","Alejandro Toledo",298,0,1,0,2,1,6,6,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"215",135,"PER","Garcia Perez",299,0,1,0,0,0,6,6,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"216",135,"PER","Ollanta Humala",300,0,-888,-888,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"217",840,"PHI","Ramos",301,0,1,0,0,3,7,7,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"218",840,"PHI","Estrada",302,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"219",840,"PHI","Gloria Macapagal-Arroyo",303,0,1,0,0,0,10,10,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"220",840,"PHI","Benigno Aquino III",304,0,-888,-888,0,0,6,6,"Notfullhouse",6,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"222",290,"POL","Kwasniewski",306,0,1,0,0,0,11,11,"fullhouse",11,0,"fullhouse",NA,"democracy",0,"ins_t_s","1"
"223",290,"POL","Kaczynski",307,0,2,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"227",290,"POL","Komorowski",311,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"228",235,"POR","Soares",312,0,1,0,0,9,11,11,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"229",235,"POR","Sampaio",313,0,1,0,0,0,11,11,"Notfullhouse",11,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"230",235,"POR","Cavaco Silva",315,0,-888,-888,0,0,10,10,"fullhouse",10,0,"fullhouse",NA,"democracy",0,"s_all","0"
"231",360,"RUM","Vacariou",319,0,1,0,0,3,5,5,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"232",360,"RUM","Ciorbea",320,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"234",360,"RUM","Vasile",322,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"236",360,"RUM","Isarescu",324,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"237",360,"RUM","A. Nastase",325,0,1,0,0,0,5,5,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"239",360,"RUM","Traian Basescu",327,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"241",360,"RUM","Traian Basescu",329,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"243",360,"RUM","Traian Basescu",331,0,-888,-888,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"244",365,"RUS","Yeltsin",332,0,1,0,2,4,9,9,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"245",317,"SLO","Meciar",337,0,1,0,0,1,5,5,"fullhouse",3,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"246",317,"SLO","Dzurinda",338,0,1,0,0,0,9,9,"Notfullhouse",9,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"247",317,"SLO","Fico",339,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"248",317,"SLO","Radicova",340,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"249",317,"SLO","Fico",341,0,-888,-888,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"250",349,"SLV","Drnovsek",342,0,1,0,0,3,9,9,"Notfullhouse",4,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"252",349,"SLV","Drnovsek",344,0,1,0,0,0,3,3,"reelected",3,0,"reelected",NA,"democracy",0,"s_all","0"
"253",349,"SLV","Anton Rop",345,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"254",349,"SLV","Janez Jansa",346,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"255",349,"SLV","Borut Pahor",347,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"256",349,"SLV","Janez Jansa",348,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"257",349,"SLV","Bratusek",349,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"258",349,"SLV","Cerar",350,0,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"259",560,"SAF","Mandela",351,0,1,0,2,1,6,6,"fullhouse",2,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"260",560,"SAF","Mbeki",352,0,1,0,0,0,10,10,"fullhouse",7,1,"fullhouse",NA,"democracy",1,"ins_t_s","1"
"261",560,"SAF","Motlanthe",353,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"262",560,"SAF","Zuma",354,0,-888,-888,0,0,4,7,"fullhouse",7,0,"fullhouse",NA,"democracy",0,"shockt","1"
"263",92,"SAL","Calderon Sol",355,0,1,0,0,1,6,6,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"264",92,"SAL","Flores",356,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"265",92,"SAL","Saca González",357,0,1,0,0,0,6,6,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"266",92,"SAL","Funes",358,0,1,0,0,0,6,6,"Notfullhouse",4,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"267",92,"SAL","Sanchez Ceren",359,0,-888,-888,0,0,2,2,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"268",317,"SLO","Meciar",360,0,1,0,0,1,5,5,"fullhouse",3,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"269",317,"SLO","Dzurinda",361,0,1,0,0,0,9,9,"Notfullhouse",9,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"270",317,"SLO","Fico",362,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"271",317,"SLO","Radicova",363,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"272",317,"SLO","Fico",364,0,-888,-888,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"274",800,"THI","Silpa-Archa",369,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"275",800,"THI","Chavalit Yongchaiyudh",370,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"276",800,"THI","Leekpai",371,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"277",800,"THI","Thaksin Shinawatra",372,0,3,6,0,0,6,6,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"278",800,"THI","Chulanont",373,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"282",800,"THI","Vejjajiva",377,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"283",800,"THI","Yingluck Shinawatra",378,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"285",800,"THI","Prayuth Chan-ocha",380,1,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"287",52,"TRI","Panday",382,0,1,0,0,0,7,7,"Notfullhouse",7,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"288",52,"TRI","Manning",383,0,1,0,0,0,10,10,"Notfullhouse",8,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"289",52,"TRI","Kamla Persad-Bissessar",384,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"290",640,"TUR","Ciller",390,0,1,0,0,2,4,4,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"292",640,"TUR","Erbakan",392,0,3,6,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"293",640,"TUR","Yilmaz",393,1,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"294",640,"TUR","Ecevit",394,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"295",640,"TUR","Abdullah Gul",395,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"296",640,"TUR","Erdogan",396,0,-888,-888,0,0,13,13,"fullhouse",6,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"297",369,"UKR","Kuchma",397,0,1,0,0,1,12,12,"Notfullhouse",11,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"298",369,"UKR","Yushchenko",398,0,1,0,0,0,6,6,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"299",369,"UKR","Yanukovych",399,0,1,0,0,0,5,5,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"301",369,"UKR","Petro Poroshenko",401,0,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"303",165,"URU","Sanguinetti",405,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"304",165,"URU","Jorge Batlle",406,0,1,0,0,0,6,6,"Notfullhouse",5,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"305",165,"URU","Tabare Vazquez",407,0,1,0,0,0,6,6,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"306",165,"URU","Jose Mujica",408,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"308",101,"VEN","Caldera Rodriguez",410,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"309",101,"VEN","Hugo Chavez",411,0,2,0,0,0,4,14,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"310",101,"VEN","Hugo Chavez",411,0,2,0,0,4,7,14,"fullhouse",6,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"311",101,"VEN","Hugo Chavez",411,0,2,0,0,7,14,14,"fullhouse",1,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"312",101,"VEN","Maduro",412,0,-888,-888,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"123",615,"ALG","Zeroual",9,0,1,0,1,1,1,6,"regime",3,1,NA,"1","dictatorship",0,"s_t_i","1"
"313",692,"BAH","Isa Ibn Al-Khalifah",19,0,2,0,1,24,29,29,"independent",29,0,NA,"0","dictatorship",0,"i_t_s","0"
"5",370,"BLR","Lukashenko",21,0,-888,-888,3,1,5,22,"regime",22,0,NA,"1","dictatorship",1,"shock_t","1"
"610",346,"BOS","Izetbegovic",29,0,2.1,0,4,5,9,9,"noauthority",9,0,NA,"0","noauthority",0,"ins_all","0"
"72",346,"BOS","Radisic",30,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"810",346,"BOS","Jelavic",31,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"910",346,"BOS","Izetbegovic",32,0,2.1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"105",346,"BOS","Radisic",33,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"11",346,"BOS","Krizanovic",34,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"124",346,"BOS","Belkic",35,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"135",346,"BOS","Sarovic",36,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"145",346,"BOS","Borislav Paravac",37,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"157",346,"BOS","Dragan Covic",38,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"161",346,"BOS","Sulejman Tihic",39,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"179",346,"BOS","Borislav Paravac",40,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"182",346,"BOS","Miro Jovic",41,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"197",346,"BOS","Sulejman Tihic",42,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"201",346,"BOS","Radmanovic",43,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"2110",346,"BOS","Zeljko Komsic",44,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"221",346,"BOS","Silajdzic",45,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"233",346,"BOS","Radmanovic",46,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"242",346,"BOS","Zeljko Komsic",47,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"251",346,"BOS","Silajdzic",48,0,1,0,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"2610",346,"BOS","Radmanovic",49,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"273",346,"BOS","Zeljko Komsic",50,0,1,0,4,0,4,4,"noauthority",4,0,NA,"0","noauthority",0,"ins_all","0"
"281",346,"BOS","Ivanic",51,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"291",346,"BOS","Dragan Covic",52,0,-888,-888,4,0,1,1,"noauthority",1,0,NA,"0","noauthority",0,"ins_all","0"
"302",710,"CHN","Deng Xiaoping",74,0,2,0,1,15,18,18,"regime",18,0,NA,"1","dictatorship",0,"s_all","0"
"314",710,"CHN","Jiang Zemin",75,0,1,0,1,0,4,7,"regime",7,0,NA,"1","dictatorship",1,"shock_t","1"
"32",710,"CHN","Hu Jintao",76,0,1,0,1,0,10,10,"regime",2,1,NA,"1","dictatorship",0,"s_all","0"
"331",710,"CHN","Xi Jinping",77,0,1,0,1,0,4,4,"regime",4,0,NA,"1","dictatorship",0,"s_all","0"
"341",100,"COL","Arango",79,0,1,0,4,0,5,5,"noauthority",5,0,NA,"0","noauthority",0,"i_t_s","0"
"351",100,"COL","Alvaro Uribe Velez",80,0,1,0,4,0,1,9,"noauthority",2,1,NA,"0","noauthority",0,"i_t_s","0"
"361",816,"DRV","Do Muoi",119,0,1,0,1,4,1,7,"regime",5,1,NA,"1","dictatorship",0,"s_t_i","1"
"371",816,"DRV","Phieu",120,0,1,0,1,0,5,5,"regime",5,0,NA,"1","dictatorship",0,"s_all","0"
"38",816,"DRV","Nong Duc Manh",121,0,1,0,1,0,11,11,"regime",6,1,NA,"1","dictatorship",0,"s_all","0"
"391",816,"DRV","Phu Trong",122,0,-888,-888,1,0,5,5,"regime",2,1,NA,"1","dictatorship",0,"s_all","0"
"401",130,"ECU","Gustavo Noboa*",129,1,1,0,1,0,1,4,"regime",4,1,NA,"1","dictatorship",0,"s_t_i","1"
"421",651,"EGY","Tantawi",134,0,1,0,1,0,1,2,"regime",2,0,NA,"1","dictatorship",0,"s_t_i","1"
"431",651,"EGY","Morsi",135,0,3,2,1,0,1,1,"regime",1,0,NA,"1","dictatorship",0,"s_t_i","1"
"441",651,"EGY","Mansour",136,1,1,0,1,0,2,2,"opposition",2,0,NA,"0","dictatorship",0,"ins_all","0"
"451",651,"EGY","al-Sisi",137,0,-888,-888,1,0,2,2,"opposition",2,0,NA,"0","dictatorship",0,"ins_all","0"
"461",372,"GRG","Shevardnadze",146,0,3,2,1,3,12,12,"opposition",12,0,NA,"0","dictatorship",1,"shock_t","1"
"471",372,"GRG","Burdjanadze",147,0,1,0,1,0,2,2,"unaffiliated",2,0,NA,"0","dictatorship",0,"ins_all","0"
"481",850,"INS","Suharto",181,1,1,0,1,24,28,28,"independent",28,0,NA,"0","dictatorship",0,"ins_all","0"
"491",850,"INS","Habibie",182,0,1,0,1,0,2,2,"unaffiliated",2,0,NA,"0","dictatorship",0,"ins_all","0"
"501",663,"JOR","Hussein Ibn Talal El-Hashim",192,0,2,0,1,24,NA,29,"regime",25,1,NA,"1","dictatorship",0,"s_t_i","1"
"511",663,"JOR","Abdullah Ibn Hussein El-Hashimi",193,0,-888,-888,1,0,13,17,"regime",1,1,NA,"1","dictatorship",0,"shock_t","1"
"521",705,"KZK","Nazarbaev",194,0,-888,-888,1,5,15,26,"regime",21,1,NA,"1","dictatorship",1,"shock_t","1"
"531",690,"KUW","Jabir As-Sabah",195,0,4,9,1,4,16,16,"regime",7,1,NA,"1","dictatorship",0,"ins_all","0"
"541",690,"KUW","Sheikh Saad Al Abdullah Al Salim Al Sabah",196,0,1,0,1,0,1,1,"opposition",1,0,NA,"0","dictatorship",0,"i_t_s","0"
"55",690,"KUW","Sheikh Sabah Al Ahmad Al Jabir Al Sabah",196,0,-888,-888,1,0,10,10,"opposition",1,1,NA,"0","dictatorship",0,"i_t_s","0"
"561",660,"LEB","Elias Hrawi",209,0,1,0,4,6,10,10,"noauthority",7,1,NA,"0","noauthority",0,"ins_all","0"
"571",820,"MAL","Mahatir Bin Mohammad",232,0,1,0,1,14,15,23,"regime",23,0,NA,"1","dictatorship",0,"s_t_i","1"
"591",820,"MAL","Najib Tun Razak",234,0,-888,-888,1,0,1,7,"regime",3,1,NA,"1","dictatorship",0,"s_t_i","1"
"601",70,"MEX","Zedillo",235,0,1,0,1,1,1,7,"regime",2,1,NA,"1","dictatorship",0,"s_t_i","1"
"611",712,"MON","Ochirbat",249,0,1,0,2,5,8,8,"revolt",8,0,NA,"0","dictatorship",0,"ins_all","0"
"621",600,"MOR","Hassan II",253,0,2,0,1,24,25,29,"regime",27,1,NA,"1","dictatorship",0,"s_t_i","1"
"631",600,"MOR","Muhammad VI",254,0,-888,-888,1,0,14,17,"regime",5,1,NA,"1","dictatorship",0,"shock_t","1"
"641",565,"NAM","Nujoma",255,0,1,0,1,5,14,16,"regime",16,1,NA,"1","dictatorship",0,"shock_t","1"
"651",565,"NAM","Pohamba",256,0,1,0,1,0,11,11,"regime",11,0,NA,"1","dictatorship",0,"s_all","0"
"661",565,"NAM","Hage Geingob",257,0,-888,-888,1,0,1,1,"regime",1,0,NA,"1","dictatorship",0,"s_all","0"
"671",790,"NEP","Sher Bahdur Deuba",265,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",1,"ins_all","0"
"681",790,"NEP","Lokendra Bahadur Chand",266,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"691",790,"NEP","Surya Bahadur Thapa",267,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"701",790,"NEP","Sher Bahdur Deuba",268,0,1,0,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"711",790,"NEP","Gyanendra",269,0,3,2,4,0,2,2,"noauthority",2,0,NA,"0","noauthority",0,"ins_all","0"
"731",150,"PAR","Wasmosy Monti",288,0,1,0,1,2,NA,6,"regime",6,0,NA,"1","dictatorship",0,"s_t_i","1"
"741",150,"PAR","Cubas Grau",289,0,1,0,2,0,1,2,"regime",2,0,NA,"1","dictatorship",0,"s_t_i","1"
"751",150,"PAR","Gonzalez Macchi",290,0,1,0,3,0,5,5,"regime",5,0,NA,"1","dictatorship",1,"shock_t","1"
"761",150,"PAR","Nicanor Duarte Frutos",292,0,1,0,1,0,1,6,"regime",2,1,NA,"1","dictatorship",0,"s_t_i","1"
"771",135,"PER","Fujimori",296,0,1,0,1,5,11,11,"opposition",11,0,NA,"0","dictatorship",0,"ins_all","0"
"781",135,"PER","Valentin Paniagua",297,0,1,0,1,0,2,2,"unaffiliated",2,0,NA,"0","dictatorship",0,"ins_all","0"
"791",694,"QAT","Khalifah Ath-Thani",316,1,3,8,1,23,24,24,"independent",24,0,NA,"0","dictatorship",0,"ins_all","0"
"801",694,"QAT","Hamad ibn Khalifah Al Thani",317,1,1,0,1,0,14,19,"opposition",8,1,NA,"0","dictatorship",0,"ins_all","0"
"81",365,"RUS","Putin",333,0,-888,-888,3,0,1,16,"regime",11,1,NA,"1","dictatorship",1,"s_t_i","1"
"82",365,"RUS","Putin",333,0,-888,-888,3,14,15,16,"regime",16,0,NA,"1","dictatorship",1,"shock_t","1"
"831",670,"SAU","Fahd",334,0,2.1,0,1,13,14,15,"regime",15,0,NA,"1","dictatorship",0,"s_t_i","1"
"841",670,"SAU","Abdullah",335,0,2,0,1,0,1,20,"regime",7,1,NA,"1","dictatorship",1,"s_t_i","1"
"851",670,"SAU","Abdullah",335,0,2,0,1,13,20,20,"regime",20,0,NA,"1","dictatorship",1,"shock_t","1"
"861",670,"SAU","Salman bin Abdulaziz Al Saud",336,0,-888,-888,1,0,1,1,"regime",1,0,NA,"1","dictatorship",0,"s_t_i","1"
"871",572,"SWA","Mswati",365,0,-888,-888,0,9,NA,30,"regime",20,1,NA,"1","dictatorship",0,"s_t_i","1"
"881",652,"SYR","Al-Assad H.",366,0,2,0,1,25,30,31,"military",28,1,NA,"0","dictatorship",0,"ins_all","0"
"891",652,"SYR","Bashar al-Assad",367,0,-888,-888,1,0,16,16,"military",16,0,NA,"0","dictatorship",1,"shock_t","1"
"901",616,"TUN","Zine Al-Abidine Ben Ali",385,1,3,2,1,8,13,25,"coup",25,0,NA,"0","dictatorship",1,"shock_t","1"
"921",616,"TUN","Ghannouchi",386,0,1,2,2,0,1,1,"opposition",1,0,NA,"0","dictatorship",1,"ins_all","0"
"931",696,"UAE","An-Nahayan",402,0,2,0,1,24,34,34,"independent",32,1,NA,"0","dictatorship",0,"ins_all","0"
